ID,title,author,TrueURL
1,〔雨ニモマケズ〕,宮沢 賢治,https://www.aozora.gr.jp/cards/000081/files/45630_23908.html
2,山月記,中島 敦,https://www.aozora.gr.jp/cards/000119/files/624_14544.html
3,走れメロス,太宰 治,https://www.aozora.gr.jp/cards/000035/files/1567_14913.html
4,羅生門,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/127_15260.html
5,こころ,夏目 漱石,https://www.aozora.gr.jp/cards/000148/files/773_14560.html
6,銀河鉄道の夜,宮沢 賢治,https://www.aozora.gr.jp/cards/000081/files/456_15050.html
7,吾輩は猫である,夏目 漱石,https://www.aozora.gr.jp/cards/000148/files/789_14547.html
8,夢十夜,夏目 漱石,https://www.aozora.gr.jp/cards/000148/files/799_14972.html
9,やまなし,宮沢 賢治,https://www.aozora.gr.jp/cards/000081/files/46605_31178.html
10,蜘蛛の糸,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/92_14545.html
11,注文の多い料理店,宮沢 賢治,https://www.aozora.gr.jp/cards/000081/files/43754_17659.html
12,檸檬,梶井 基次郎,https://www.aozora.gr.jp/cards/000074/files/424_19826.html
13,草枕,夏目 漱石,https://www.aozora.gr.jp/cards/000148/files/776_14941.html
14,坊っちゃん,夏目 漱石,https://www.aozora.gr.jp/cards/000148/files/752_14964.html
15,人間失格,太宰 治,https://www.aozora.gr.jp/cards/000035/files/301_14912.html
16,方丈記,鴨 長明,https://www.aozora.gr.jp/cards/000196/files/975_15935.html
17,学問のすすめ,福沢 諭吉,https://www.aozora.gr.jp/cards/000296/files/47061_29420.html
18,『春と修羅』,宮沢 賢治,https://www.aozora.gr.jp/cards/000081/files/1058_15403.html
19,よだかの星,宮沢 賢治,https://www.aozora.gr.jp/cards/000081/files/473_42318.html
20,舞姫,森 鴎外,https://www.aozora.gr.jp/cards/000129/files/2078_15963.html
21,ドグラ・マグラ,夢野 久作,https://www.aozora.gr.jp/cards/000096/files/2093_28841.html
22,手袋を買いに,新美 南吉,https://www.aozora.gr.jp/cards/000121/files/637_13341.html
23,智恵子抄,高村 光太郎,https://www.aozora.gr.jp/cards/001168/files/46669_25695.html
24,桃太郎,楠山 正雄,https://www.aozora.gr.jp/cards/000329/files/18376_12100.html
25,桜の樹の下には,梶井 基次郎,https://www.aozora.gr.jp/cards/000074/files/427_19793.html
26,高瀬舟,森 鴎外,https://www.aozora.gr.jp/cards/000129/files/691_15352.html
27,あのときの王子くん,サン＝テグジュペリ アントワーヌ・ド,https://www.aozora.gr.jp/cards/001265/files/46817_24670.html
28,鼻,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/42_15228.html
29,土佐日記,紀 貫之,https://www.aozora.gr.jp/cards/000155/files/832_16016.html
30,月に吠える,萩原 朔太郎,https://www.aozora.gr.jp/cards/000067/files/859_21656.html
31,駈込み訴え,太宰 治,https://www.aozora.gr.jp/cards/000035/files/277_33098.html
32,戦争責任者の問題,伊丹 万作,https://www.aozora.gr.jp/cards/000231/files/43873_23111.html
33,銀河鉄道の夜,宮沢 賢治,https://www.aozora.gr.jp/cards/000081/files/43737_19215.html
34,地獄変,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/60_15129.html
35,星めぐりの歌,宮沢 賢治,https://www.aozora.gr.jp/cards/000081/files/46268_23911.html
36,一握の砂,石川 啄木,https://www.aozora.gr.jp/cards/000153/files/816_15786.html
37,ごん狐,新美 南吉,https://www.aozora.gr.jp/cards/000121/files/628_14895.html
38,オツベルと象,宮沢 賢治,https://www.aozora.gr.jp/cards/000081/files/466_42316.html
39,斜陽,太宰 治,https://www.aozora.gr.jp/cards/000035/files/1565_8559.html
40,トロッコ,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/43016_16836.html
41,風の又三郎,宮沢 賢治,https://www.aozora.gr.jp/cards/000081/files/462_15405.html
42,桃太郎,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/100_15253.html
43,三四郎,夏目 漱石,https://www.aozora.gr.jp/cards/000148/files/794_14946.html
44,セロ弾きのゴーシュ,宮沢 賢治,https://www.aozora.gr.jp/cards/000081/files/470_15407.html
45,河童,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/45761_39095.html
46,杜子春,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/170_15144.html
47,蟹工船,小林 多喜二,https://www.aozora.gr.jp/cards/000156/files/1465_16805.html
48,女生徒,太宰 治,https://www.aozora.gr.jp/cards/000035/files/275_13903.html
49,遠野物語,柳田 国男,https://www.aozora.gr.jp/cards/001566/files/52504_49667.html
50,春琴抄,谷崎 潤一郎,https://www.aozora.gr.jp/cards/001383/files/56866_58169.html
51,陰翳礼讃,谷崎 潤一郎,https://www.aozora.gr.jp/cards/001383/files/56642_59575.html
52,高瀬舟,森 鴎外,https://www.aozora.gr.jp/cards/000129/files/45245_22007.html
53,蜜柑,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/98_15272.html
54,少女地獄,夢野 久作,https://www.aozora.gr.jp/cards/000096/files/935_23282.html
55,赤い蝋燭と人魚,小川 未明,https://www.aozora.gr.jp/cards/001475/files/54372_46225.html
56,故郷,魯迅 ,https://www.aozora.gr.jp/cards/001124/files/42939_15330.html
57,富嶽百景,太宰 治,https://www.aozora.gr.jp/cards/000035/files/270_14914.html
58,虔十公園林,宮沢 賢治,https://www.aozora.gr.jp/cards/000081/files/4410_26676.html
59,桜の森の満開の下,坂口 安吾,https://www.aozora.gr.jp/cards/001095/files/42618_21410.html
60,セメント樽の中の手紙,葉山 嘉樹,https://www.aozora.gr.jp/cards/000031/files/228_21664.html
61,変身,カフカ フランツ,https://www.aozora.gr.jp/cards/001235/files/49866_41897.html
62,尾崎放哉選句集,尾崎 放哉,https://www.aozora.gr.jp/cards/000195/files/974_319.ebk
63,人間椅子,江戸川 乱歩,https://www.aozora.gr.jp/cards/001779/files/56648_58207.html
64,葉,太宰 治,https://www.aozora.gr.jp/cards/000035/files/2288_33104.html
65,私の個人主義,夏目 漱石,https://www.aozora.gr.jp/cards/000148/files/772_33100.html
66,山羊の歌,中原 中也,https://www.aozora.gr.jp/cards/000026/files/894_28272.html
67,痴人の愛,谷崎 潤一郎,https://www.aozora.gr.jp/cards/001383/files/58093_62049.html
68,グッド・バイ,太宰 治,https://www.aozora.gr.jp/cards/000035/files/258_20179.html
69,たけくらべ,樋口 一葉,https://www.aozora.gr.jp/cards/000064/files/389_15297.html
70,金色夜叉,尾崎 紅葉,https://www.aozora.gr.jp/cards/000091/files/522_19603.html
71,おじいさんのランプ,新美 南吉,https://www.aozora.gr.jp/cards/000121/files/635_14853.html
72,瓶詰地獄,夢野 久作,https://www.aozora.gr.jp/cards/000096/files/2381_13352.html
73,藪の中,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/179_15255.html
74,金魚撩乱,岡本 かの子,https://www.aozora.gr.jp/cards/000076/files/1279_9311.html
75,堕落論,坂口 安吾,https://www.aozora.gr.jp/cards/001095/files/42620_21407.html
76,文字禍,中島 敦,https://www.aozora.gr.jp/cards/000119/files/622_14497.html
77,藪の中,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/24454_47036.html
78,刺青,谷崎 潤一郎,https://www.aozora.gr.jp/cards/001383/files/56641_59496.html
79,あたらしい憲法のはなし,文部省 ,https://www.aozora.gr.jp/cards/001128/files/43037_15804.html
80,ロミオとヂュリエット,シェークスピア ウィリアム,https://www.aozora.gr.jp/cards/000264/files/42773_39853.html
81,白雪姫,グリム ヤーコプ・ルートヴィッヒ・カール,https://www.aozora.gr.jp/cards/001091/files/42308_17916.html
82,闇桜,樋口 一葉,https://www.aozora.gr.jp/cards/000064/files/4527_27840.html
83,グスコーブドリの伝記,宮沢 賢治,https://www.aozora.gr.jp/cards/000081/files/1924_14254.html
84,どんぐりと山猫,宮沢 賢治,https://www.aozora.gr.jp/cards/000081/files/43752_17657.html
85,葉桜と魔笛,太宰 治,https://www.aozora.gr.jp/cards/000035/files/42376_15545.html
86,名人伝,中島 敦,https://www.aozora.gr.jp/cards/000119/files/621_14498.html
87,恩讐の彼方に,菊池 寛,https://www.aozora.gr.jp/cards/000083/files/496_19866.html
88,或旧友へ送る手記,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/20_14619.html
89,芋粥,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/55_14824.html
90,お伽草紙,太宰 治,https://www.aozora.gr.jp/cards/000035/files/307_14909.html
91,外科室,泉 鏡花,https://www.aozora.gr.jp/cards/000050/files/360_19397.html
92,夜明け前,島崎 藤村,https://www.aozora.gr.jp/cards/000158/files/1504_14585.html
93,一房の葡萄,有島 武郎,https://www.aozora.gr.jp/cards/000025/files/211_20472.html
94,夏の葬列,山川 方夫,https://www.aozora.gr.jp/cards/001801/files/59532_70200.html
95,花咲かじじい,楠山 正雄,https://www.aozora.gr.jp/cards/000329/files/3391.ebk
96,歯車,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/40_15151.html
97,みだれ髪,与謝野 晶子,https://www.aozora.gr.jp/cards/000885/files/51307_47033.html
98,或阿呆の一生,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/19_14618.html
99,侏儒の言葉,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/158_15132.html
100,やまなし,宮沢 賢治,https://www.aozora.gr.jp/cards/000081/files/472_42317.html
101,風景,山村 暮鳥,https://www.aozora.gr.jp/cards/000136/files/52348_42039.html
102,上海游記,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/51215_56381.html
103,トカトントン,太宰 治,https://www.aozora.gr.jp/cards/000035/files/2285_15077.html
104,山椒大夫,森 鴎外,https://www.aozora.gr.jp/cards/000129/files/689_23257.html
105,杜子春,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/43015_17432.html
106,如是我聞,太宰 治,https://www.aozora.gr.jp/cards/000035/files/1084_15078.html
107,武蔵野,国木田 独歩,https://www.aozora.gr.jp/cards/000038/files/329_15886.html
108,蒲団,田山 花袋,https://www.aozora.gr.jp/cards/000214/files/1669_8259.html
109,ねずみの嫁入り,楠山 正雄,https://www.aozora.gr.jp/cards/000329/files/18335_11944.html
